id	inclusion_class	rationale
language-feature/generics/parameter-block-unify.slang#discovery-1	newly-unlocked-invariant	Scalar parameter-group unification and loaded value.
language-feature/generics/variadic-pack-query-pack-conformance.slang#discovery-1	newly-unlocked-invariant	Variadic type-pack specialization identity.
language-feature/pointer/ptr-to-groupshared.slang#discovery-1	newly-unlocked-invariant	Group-shared aggregate pointer across a helper call.
language-feature/tuple/tuple-parameter.slang#discovery-1	newly-unlocked-invariant	Tuple containing texture and sampler parameter values.
optimization/func-resource-result/func-resource-result-simple.slang#discovery-1	newly-unlocked-invariant	Raw resource view returned from a helper.
bindings/nested-parameter-block-3.slang#discovery-1	remaining-healthy-failure	Helper aggregate parameter ABI for a resource-bearing Scene.
bugs/force-inline-array.slang#discovery-1	remaining-healthy-failure	Global device pointer to generic UserPointer conversion.
bugs/parameter-block-load.slang#discovery-1	remaining-healthy-failure	Sequential pointer derived from loaded parameter-group storage.
bugs/type-legalize-bug-1.slang#discovery-1	remaining-healthy-failure	Resource field pointer in a legalized aggregate.
compute/buffer-type-splitting.slang#discovery-1	remaining-healthy-failure	Aggregate storage layout across buffer type splitting.
compute/interface-shader-param.slang#discovery-1	remaining-healthy-failure	Conventional entry-point parameter ABI for interface data.
compute/static-const-matrix-array.slang#discovery-1	remaining-healthy-failure	Canonical fixed-array value construction.
language-feature/dynamic-dispatch/ptr-to-interface-double-indirect.slang#discovery-1	remaining-healthy-failure	Double-indirect helper pointer parameter ABI.
language-feature/generics/generic-shader-object-cbuffer2.slang#discovery-1	remaining-healthy-failure	Generic entry-point parameter ABI for shader-object data.
language-feature/pointer/groupshared-ptr-of-device.slang#discovery-1	remaining-healthy-failure	Shared storage containing device UserPointer values.
language-feature/types/opaque/return-opaque-type-in-struct.slang#discovery-1	remaining-healthy-failure	Opaque aggregate helper result ABI.
optimization/arrray-storage-lowering.slang#discovery-1	remaining-healthy-failure	Borrowed aggregate helper parameter after array storage lowering.
optimization/func-resource-result/func-resource-result-complex.slang#discovery-1	remaining-healthy-failure	Fixed array of texture values loaded from conventional globals.
