id	source	selection_tags	selection_rationale	native_reference_healthy	nvrtc-o3_classification	nvrtc-o3_elapsed_ms	nvrtc-o3_exact_shape	nvrtc-o3_cluster	nvrtc-o3_producer	nvrtc-o3_diagnostic	nvrtc-o3_log	nvvm-o0_classification	nvvm-o0_elapsed_ms	nvvm-o0_exact_shape	nvvm-o0_cluster	nvvm-o0_producer	nvvm-o0_diagnostic	nvvm-o0_log	nvvm-o3_classification	nvvm-o3_elapsed_ms	nvvm-o3_exact_shape	nvvm-o3_cluster	nvvm-o3_producer	nvvm-o3_diagnostic	nvvm-o3_log
bugs/generic-groupshared.slang#discovery-1	bugs/generic-groupshared.slang	shared-barrier,helper-generic	Generic values in groupshared storage.	true	correct	5709					build/nvvm-discovery/slice180/logs/nvrtc-o3/19699c5bea21452b82a248c0c4783a5230dd257d.log	correct	5618					build/nvvm-discovery/slice180/logs/nvvm-o0/0e2dfc883dcd3ccc1f896c19ec41c59ee5349847.log	correct	5599					build/nvvm-discovery/slice180/logs/nvvm-o3/6d68ffadf966a2fc01718058695631b0480501ba.log
bugs/gh-6657-bindless-uniform.slang#discovery-1	bugs/gh-6657-bindless-uniform.slang	parameter-layout,mixed-resources,aggregate-pointer	Bindless-style uniform/resource combination.	true	correct	6709					build/nvvm-discovery/slice180/logs/nvrtc-o3/667f6c140de5977b43a5a94304d08084c3a9f9d2.log	correct	5995					build/nvvm-discovery/slice180/logs/nvvm-o0/fce6233e4d857cfc9246de1eec4b9b63f4dfd630.log	correct	6008					build/nvvm-discovery/slice180/logs/nvvm-o3/0bf4ef36f9d6219ee6a971adc2872adf11870e38.log
bugs/gh-6657-nonbindless-uniform.slang#discovery-1	bugs/gh-6657-nonbindless-uniform.slang	parameter-layout,mixed-resources,aggregate-pointer	Non-bindless comparison for the same layout family.	false	infrastructure	6298	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvrtc-o3/bfa7b7d9fdd3b5225f860a70f97588d47e287633.log	infrastructure	5943	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o0/17af9ea1fc1f2359c61d8f53c898bbeb58b48c92.log	infrastructure	6022	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o3/9651719bf3aa61fdbb5243049e2fd25029b0bae3.log
bugs/gh-7748-switch-continue-bug.slang#discovery-1	bugs/gh-7748-switch-continue-bug.slang	control-flow	Switch/continue regression workload.	true	correct	5300					build/nvvm-discovery/slice180/logs/nvrtc-o3/419fa6dc57204a2998d06f23a03d12de4a0b0ad0.log	correct	5213					build/nvvm-discovery/slice180/logs/nvvm-o0/e160cf5a4607907a4d67cea3f7a9aab32544de7c.log	correct	5130					build/nvvm-discovery/slice180/logs/nvvm-o3/143a16bbc17212f3177cdd3de678f635326c63c1.log
bugs/matrix-divided-by-scalar.slang#discovery-1	bugs/matrix-divided-by-scalar.slang	matrix-layout	Ordinary non-square matrix arithmetic.	true	correct	5586					build/nvvm-discovery/slice180/logs/nvrtc-o3/493bde516cfc57a17c4160be8c94c8b70dc8824a.log	correct	5435					build/nvvm-discovery/slice180/logs/nvvm-o0/c74a30cfe4de7ee0d6479c4b9719442a895e0df7.log	correct	5320					build/nvvm-discovery/slice180/logs/nvvm-o3/2cd4141ad68d4d2642cfa9e77cae7d0effef706a.log
bugs/mutating/mutating-call-in-loop-dce.slang#discovery-1	bugs/mutating/mutating-call-in-loop-dce.slang	control-flow,helper-generic	Mutating helper calls retained through loop DCE.	true	correct	5498					build/nvvm-discovery/slice180/logs/nvrtc-o3/3cd6faa22a30a339b55a7eb3e7ef7e0977491395.log	correct	5364					build/nvvm-discovery/slice180/logs/nvvm-o0/3ecec3c4bba5b7c5561549d4cc5d0789b8017fad.log	correct	5370					build/nvvm-discovery/slice180/logs/nvvm-o3/8dbafb64304b41df58b97fdd4e375c9e1f5f9223.log
bugs/nested-switch-continue-in-loop.slang#discovery-1	bugs/nested-switch-continue-in-loop.slang	control-flow	Nested switch and continue interaction.	true	correct	5523					build/nvvm-discovery/slice180/logs/nvrtc-o3/3643de39950d1bb3685ddcf4b9799dc6a0d2d56e.log	correct	5496					build/nvvm-discovery/slice180/logs/nvvm-o0/7afb13b092ed089367858bdcc847c22c694634c1.log	correct	5307					build/nvvm-discovery/slice180/logs/nvvm-o3/a5db786bb406ae4993bf943707a8e0410f6689a8.log
bugs/op-assignment-unify-mat.slang#discovery-1	bugs/op-assignment-unify-mat.slang	matrix-layout,helper-generic	Matrix compound assignment and overload unification.	true	correct	5623					build/nvvm-discovery/slice180/logs/nvrtc-o3/ca302b463cd41e55709b252760bfe49493f5ea6d.log	correct	5567					build/nvvm-discovery/slice180/logs/nvvm-o0/875d3c3a7f992d5e10549fab56e95f24b9d0405a.log	correct	5389					build/nvvm-discovery/slice180/logs/nvvm-o3/8b731374e7915abf7cd2180bc698f5b9db730615.log
bugs/parameter-block-load.slang#discovery-1	bugs/parameter-block-load.slang	parameter-layout,mixed-resources	Parameter-block resource loading.	true	correct	6482					build/nvvm-discovery/slice180/logs/nvrtc-o3/e6d56624b8c1d60d0ec8be09c25b1150ca77b950.log	correct	6087					build/nvvm-discovery/slice180/logs/nvvm-o0/491d5b8cd183901e41a753e9ee2264e4fd4ab338.log	correct	6035					build/nvvm-discovery/slice180/logs/nvvm-o3/4cdcc4bc1d3eaf1ae7f977ed2d112028c0a8da32.log
bugs/type-legalize-bug-1.slang#discovery-1	bugs/type-legalize-bug-1.slang	parameter-layout,helper-generic	Type legalization across parameter and helper boundaries.	true	correct	5828					build/nvvm-discovery/slice180/logs/nvrtc-o3/26962b5691ba911c2eaada1828c6ca8d12c742e1.log	correct	5680					build/nvvm-discovery/slice180/logs/nvvm-o0/61193e6cc3a512b5c8428f2ca20882139fd0854d.log	correct	5837					build/nvvm-discovery/slice180/logs/nvvm-o3/222457432328f95cb69530cbaf9572ddeea792dd.log
compute/atomics-buffer.slang#discovery-1	compute/atomics-buffer.slang	atomic-wave,mixed-resources	Buffer atomics combined with resource access.	false	infrastructure	5422	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvrtc-o3/4abc646b2048fd0b199f5c26f74bbd908abc2359.log	infrastructure	5510	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o0/256ff67758a78c5c2f3952768b31c8cae49b38db.log	infrastructure	6293	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o3/23cffb7beff70c7007f7faf7a0202657a8804015.log
compute/buffer-type-splitting.slang#discovery-1	compute/buffer-type-splitting.slang	mixed-resources,aggregate-pointer	Buffer type splitting and aggregate storage.	true	correct	7098					build/nvvm-discovery/slice180/logs/nvrtc-o3/327a27a1fcc8852b34ab09711d9eec1e752d9ced.log	correct	6502					build/nvvm-discovery/slice180/logs/nvvm-o0/f0c7664933a8bada31dcea8c3f83295457e12deb.log	correct	6877					build/nvvm-discovery/slice180/logs/nvvm-o3/2caacb5214a47308f20211772f72f51503a4e82c.log
compute/cbuffer-legalize.slang#discovery-1	compute/cbuffer-legalize.slang	parameter-layout,mixed-resources	Constant-buffer legalization with resource output.	true	correct	6630					build/nvvm-discovery/slice180/logs/nvrtc-o3/2f9f4d8ac1ebe1ae630c3e21d373bea273592f58.log	correct	6140					build/nvvm-discovery/slice180/logs/nvvm-o0/ef727840657e16b2f2ab6a68b209706336067da4.log	correct	6962					build/nvvm-discovery/slice180/logs/nvvm-o3/bbeaa43eaac729e657025e9fe21cb658fbce4ca8.log
compute/conditional-link-time-const.slang#discovery-1	compute/conditional-link-time-const.slang	control-flow,helper-generic	Link-time constants controlling helper branches.	true	correct	5238					build/nvvm-discovery/slice180/logs/nvrtc-o3/254bf38debddf4a22b53b54754022df7ef623dbb.log	correct	5057					build/nvvm-discovery/slice180/logs/nvvm-o0/f4c07318dcd373cbe8ab854138447ee026b6daaa.log	correct	5130					build/nvvm-discovery/slice180/logs/nvvm-o3/884a42c4a2e8049c9576cb83db4c644e2d7f0355.log
compute/constexpr.slang#discovery-1	compute/constexpr.slang	parameter-layout,mixed-resources,large	Large constexpr and constant-buffer combination.	false	infrastructure	6636	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvrtc-o3/2be305e1c2b1860fde73f53aa44ed559034cc431.log	infrastructure	6474	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o0/5e4b9fa17552a241be6df7bf7535ae302b03cd5c.log	infrastructure	6446	target capability requirement	infrastructure-cuda-capability	entry-point target-requirement checking -> E36107	E36107: target capability requirements make the entry point unavailable to CUDA	build/nvvm-discovery/slice180/logs/nvvm-o3/1a9b5ae2457576a949fd5877e8f6980fedff5507.log
compute/func-cbuffer-param.slang#discovery-1	compute/func-cbuffer-param.slang	parameter-layout,helper-generic	Constant-buffer values crossing helper calls.	true	correct	7062					build/nvvm-discovery/slice180/logs/nvrtc-o3/cea17020eab7db73b417c82bc8ca2bdbea2426ba.log	correct	6765					build/nvvm-discovery/slice180/logs/nvvm-o0/ce8e7b54bf2321e298fdd04ee267a28b4dc416c7.log	correct	6666					build/nvvm-discovery/slice180/logs/nvvm-o3/e2681d15b3eeb4f46d60636c5d600368f0b9350e.log
compute/generic-diamond-pattern-2.slang#discovery-1	compute/generic-diamond-pattern-2.slang	helper-generic,large	Larger diamond-shaped generic call graph.	true	correct	6297					build/nvvm-discovery/slice180/logs/nvrtc-o3/c01f74277e30419c37b79a59ea7d0f7fbe8f8231.log	correct	5898					build/nvvm-discovery/slice180/logs/nvvm-o0/d369973fdff06d4d9b2bea91ff97c24f2c99faa4.log	correct	5972					build/nvvm-discovery/slice180/logs/nvvm-o3/ac12d7f7436668a687f8ec1b33957b01c338d536.log
compute/generic-interface-method.slang#discovery-1	compute/generic-interface-method.slang	helper-generic,large	Generic interface method helper graph.	true	correct	6195					build/nvvm-discovery/slice180/logs/nvrtc-o3/5c689d02bb89e8dad9b23e927119ee5a83ec8212.log	correct	5952					build/nvvm-discovery/slice180/logs/nvvm-o0/d8859622e7675c64e0b05a3c5ccf62ee36dcd4f9.log	correct	5957					build/nvvm-discovery/slice180/logs/nvvm-o3/97a2f52c6d19a06bde32bb4ee447b3b006a09563.log
compute/generics-constrained.slang#discovery-1	compute/generics-constrained.slang	helper-generic	Constrained generic specialization and calls.	true	correct	6249					build/nvvm-discovery/slice180/logs/nvrtc-o3/f51b23ecadbe18676c19ab37b8de1514ab27badc.log	correct	5739					build/nvvm-discovery/slice180/logs/nvvm-o0/9b168d0fa89ff6e9b36743598cbbff3b10dc7c82.log	correct	5809					build/nvvm-discovery/slice180/logs/nvvm-o3/a1b1edcf63b315da47f05dd2a923224dd7c203b5.log
compute/inout.slang#discovery-1	compute/inout.slang	aggregate-pointer,helper-generic	Inout value crossing helper calls.	true	correct	5616					build/nvvm-discovery/slice180/logs/nvrtc-o3/2c6ecad3128012845ab99111411920116897b808.log	correct	5631					build/nvvm-discovery/slice180/logs/nvvm-o0/549c80e94eb86211a96e661bf5cbd3de129d4188.log	correct	5603					build/nvvm-discovery/slice180/logs/nvvm-o3/2c64140102543928672d8218745cc91fe550783b.log
compute/interface-shader-param.slang#discovery-1	compute/interface-shader-param.slang	helper-generic,mixed-resources,large	Interface shader parameter with resource use.	true	correct	5410					build/nvvm-discovery/slice180/logs/nvrtc-o3/1d0783d4df5554d25f0eefe95879add90f34207f.log	correct	5480					build/nvvm-discovery/slice180/logs/nvvm-o0/afd83ca328870dd63cd44e8f5a886a10c8e088fc.log	correct	5266					build/nvvm-discovery/slice180/logs/nvvm-o3/84eafeacf780517e4e511e21a639e6f2b9c256e7.log
compute/multi-interface.slang#discovery-1	compute/multi-interface.slang	helper-generic	Multiple interface conformances in one kernel.	true	correct	5455					build/nvvm-discovery/slice180/logs/nvrtc-o3/4391bc48253020932f9d1bb8a61a50277a44167b.log	correct	5502					build/nvvm-discovery/slice180/logs/nvvm-o0/25c778fc920947fcd5bf7ca8b1479e2dfea475d1.log	correct	5431					build/nvvm-discovery/slice180/logs/nvvm-o3/cc3ba826ee3f308e8e7380724b41b0ae5a77c83c.log
compute/multiple-continue-sites.slang#discovery-1	compute/multiple-continue-sites.slang	control-flow	Multiple continue edges in one kernel.	true	correct	5616					build/nvvm-discovery/slice180/logs/nvrtc-o3/6f7c3cafa7c92a573d909a5b19a08cf1d9c083f3.log	correct	5460					build/nvvm-discovery/slice180/logs/nvvm-o0/7f6bd28f0f315e2b243779cb83a45e1452d961ba.log	correct	5471					build/nvvm-discovery/slice180/logs/nvvm-o3/32c59a3726ea9b0a625c668a53397f31a9ea3505.log
compute/nested-generics2.slang#discovery-1	compute/nested-generics2.slang	helper-generic	Nested generic specialization and helper transport.	true	correct	6184					build/nvvm-discovery/slice180/logs/nvrtc-o3/b9e00aaff04a067f1f2863516cb1b5feeb68530e.log	correct	5826					build/nvvm-discovery/slice180/logs/nvvm-o0/54f541985b1a5d50e7a47ea4c1a66242ce238579.log	correct	5841					build/nvvm-discovery/slice180/logs/nvvm-o3/1146ab7d9a2e6c93d76c220adf571d59c32511c6.log
compute/non-square-column-major.slang#discovery-1	compute/non-square-column-major.slang	matrix-layout,aggregate-pointer	Non-square column-major matrix storage.	false	runtime-mismatch	5639	runtime result buffer (no unsupported canonical IR shape)	runtime-matrix-layout	NVRTC/direct-LLVM PTX execution -> compare-compute result buffer	expected [type: float | 11.000000 | 22.000000], actual [type: float | 11.000000 | 1.000000]	build/nvvm-discovery/slice180/logs/nvrtc-o3/11b1c7864283a74b087ffd33fa490544581b62df.log	runtime-mismatch	5682	runtime result buffer (no unsupported canonical IR shape)	runtime-matrix-layout	NVRTC/direct-LLVM PTX execution -> compare-compute result buffer	expected [type: float | 11.000000 | 22.000000], actual [type: float | 11.000000 | 1.000000]	build/nvvm-discovery/slice180/logs/nvvm-o0/eff8a12373ca097fcd38acc5ba01fa9690766471.log	runtime-mismatch	5629	runtime result buffer (no unsupported canonical IR shape)	runtime-matrix-layout	NVRTC/direct-LLVM PTX execution -> compare-compute result buffer	expected [type: float | 11.000000 | 22.000000], actual [type: float | 11.000000 | 1.000000]	build/nvvm-discovery/slice180/logs/nvvm-o3/86c4e9fce4fb5ffce5829dbd0a70421b8d60ad58.log
compute/pointer-emit.slang#discovery-1	compute/pointer-emit.slang	aggregate-pointer,large	Pointer emission across a larger kernel.	true	correct	5718					build/nvvm-discovery/slice180/logs/nvrtc-o3/2b0db5ca5f67afd148f033815d93f0abde953a20.log	correct	5776					build/nvvm-discovery/slice180/logs/nvvm-o0/643ed3ee4af095aeb6d87dbf1228379d40a9c306.log	correct	5651					build/nvvm-discovery/slice180/logs/nvvm-o3/7b7962f55be22cbbfe5577c7a2c143334e700196.log
compute/ssa-reduce-bug.slang#discovery-1	compute/ssa-reduce-bug.slang	control-flow,aggregate-pointer	SSA reduction with aggregate state.	true	correct	5583					build/nvvm-discovery/slice180/logs/nvrtc-o3/3688637ade1028d30b38798b9c5550c8a49f84f5.log	correct	5399					build/nvvm-discovery/slice180/logs/nvvm-o0/437ef9b49347ff5266464756c1c75ab0dfac91c0.log	correct	5369					build/nvvm-discovery/slice180/logs/nvvm-o3/a630b16d8e854038822475fb4391759707632e95.log
compute/static-const-matrix-array.slang#discovery-1	compute/static-const-matrix-array.slang	matrix-layout,aggregate-pointer	Static constant matrix-array transport.	true	correct	5524					build/nvvm-discovery/slice180/logs/nvrtc-o3/54e7f2606ecb1156ab04cf3a1a41e82f0b4439b2.log	correct	5492					build/nvvm-discovery/slice180/logs/nvvm-o0/c3f649b52c42f22354cfa372daf45ad812ac7415.log	correct	5399					build/nvvm-discovery/slice180/logs/nvvm-o3/12aa30c33101b9464b66e2e12d0b0df3bbc6a345.log
compute/struct-make.slang#discovery-1	compute/struct-make.slang	aggregate-pointer	Aggregate construction and storage.	true	correct	5425					build/nvvm-discovery/slice180/logs/nvrtc-o3/7077af36af9a8b174a4ad68526ff032dfe6b57a8.log	correct	5492					build/nvvm-discovery/slice180/logs/nvvm-o0/8d0fa4bae9ffd41d7dd3c1408853fd69755f1018.log	correct	5435					build/nvvm-discovery/slice180/logs/nvvm-o3/d97680a4f88c70d5f2ee06167f0fdd2da3e0cb89.log
compute/texture-get-dimensions.slang#discovery-1	compute/texture-get-dimensions.slang	mixed-resources,helper-generic	Texture queries across ordinary helper lowering.	false	runtime-mismatch	6691	runtime result buffer (no unsupported canonical IR shape)	runtime-resource-query	NVRTC/direct-LLVM PTX resource execution -> compare-compute result buffer	expected [4C800000 | 4D008000 | 4C008080 | 4D808000 | 4C000080 | 4C808060 | 4D808008 | 3F800000], actual [4C800000 | 4D008000 | 4C008080 | 4D808000 | 4C000000 | 4C808000 | 4D808000 | 3F800000]	build/nvvm-discovery/slice180/logs/nvrtc-o3/8c494e4ea960e132ffff6a29ad2828aa42d4eca4.log	preflight	7320	"GenericAsm assembly={uint32_t width; asm(""txq.width.b32 %0, [%1];"" : ""=r""(width) : ""l""($0)); *($2) = width;/* txq.num_mipmap_levels not available in CUDA */ *($3) = 0;}, signature=Void(Texture1D, uint, OutParam<uint>, OutParam<uint>)"	generic-asm-texture-query	CUDA prelude texture dimensions -> StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction	"direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly={uint32_t width; asm(""txq.width.b32 %0, [%1];"" : ""=r""(width) : ""l""($0)); *($2) = width;/* txq.num_mipmap_levels not available in CUDA */ *($3) = 0;}, signature=Void(Texture1D, uint, OutParam<uint>, OutParam<uint>)'"	build/nvvm-discovery/slice180/logs/nvvm-o0/cb9ad0fdc501b8a937c17bd39dcbdccc81cd2b6e.log	preflight	6840	"GenericAsm assembly={uint32_t width; asm(""txq.width.b32 %0, [%1];"" : ""=r""(width) : ""l""($0)); *($2) = width;/* txq.num_mipmap_levels not available in CUDA */ *($3) = 0;}, signature=Void(Texture1D, uint, OutParam<uint>, OutParam<uint>)"	generic-asm-texture-query	CUDA prelude texture dimensions -> StmtLoweringVisitor::visitIntrinsicAsmStmt -> IRGenericAsm; _validateNVVMFunction	"direct NVVM lowering does not support Slang IR instruction or shape 'GenericAsm assembly={uint32_t width; asm(""txq.width.b32 %0, [%1];"" : ""=r""(width) : ""l""($0)); *($2) = width;/* txq.num_mipmap_levels not available in CUDA */ *($3) = 0;}, signature=Void(Texture1D, uint, OutParam<uint>, OutParam<uint>)'"	build/nvvm-discovery/slice180/logs/nvvm-o3/4f6a570174ca985a67b8be9d934a2c7e4b0a303b.log
compute/texture-subscript-multisample.slang#discovery-1	compute/texture-subscript-multisample.slang	mixed-resources	Multisampled texture access and result comparison.	false	infrastructure	6839	NVRTC CUDA C++ compilation	infrastructure-nvrtc-resource-compilation	Slang CUDA C++ resource emission -> NVRTC 12.9	nvrtc 12.9: build/nvvm-discovery/slice180/mirror/compute/nvvm-census-texture-subscript-multisample-a4beb992b6.slang(17): error : this declaration has no storage class or type specifier	build/nvvm-discovery/slice180/logs/nvrtc-o3/be15e8b3d4c153109f34d6110f40510a53614204.log	preflight	6760	struct field address result: Ptr<Texture2DMS, addressSpace=2147483647, access=0, operands=4, layout=ScalarLayout>	aggregate-struct-field-pointer	IRBuilder::emitFieldAddress -> IRFieldAddress; _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address result: Ptr<Texture2DMS, addressSpace=2147483647, access=0, operands=4, layout=ScalarLayout>'	build/nvvm-discovery/slice180/logs/nvvm-o0/a8d0b64c0ba60f17f020c47a06a06cd1596b78a8.log	preflight	6884	struct field address result: Ptr<Texture2DMS, addressSpace=2147483647, access=0, operands=4, layout=ScalarLayout>	aggregate-struct-field-pointer	IRBuilder::emitFieldAddress -> IRFieldAddress; _validateNVVMFunction	direct NVVM lowering does not support Slang IR instruction or shape 'struct field address result: Ptr<Texture2DMS, addressSpace=2147483647, access=0, operands=4, layout=ScalarLayout>'	build/nvvm-discovery/slice180/logs/nvvm-o3/5c3010140e22c3ee8b120e9f7786e5d70a138c3c.log
ir/loop-dce.slang#discovery-1	ir/loop-dce.slang	control-flow	Loop dead-code elimination and runtime result.	true	correct	5652					build/nvvm-discovery/slice180/logs/nvrtc-o3/2f550d98d2bb03a9b44b6c84309cf212d7f130bc.log	correct	5587					build/nvvm-discovery/slice180/logs/nvvm-o0/e19d685d1b5e09da37acebcf3f63c799ff4b909f.log	correct	5496					build/nvvm-discovery/slice180/logs/nvvm-o3/0fb7a22e417040bbaeac14f4d16ff40c72e38167.log
ir/loop-inversion.slang#discovery-1	ir/loop-inversion.slang	control-flow,large	Large loop inversion workload.	true	correct	5714					build/nvvm-discovery/slice180/logs/nvrtc-o3/6e5c0138cff9c0e2d0674448649b570c6b1e7eb0.log	correct	5537					build/nvvm-discovery/slice180/logs/nvvm-o0/06013e781ba62c2aaa5ca23c6b3dc16b91593b93.log	correct	5465					build/nvvm-discovery/slice180/logs/nvvm-o3/ed663cac9f4fe7962d60514409ae0c5c4287437d.log
