source	source_test_ordinal	selection_tags	rationale
optimization/arrray-storage-lowering.slang	1	matrix-layout,aggregate-pointer,parameter-layout	Array storage lowering with layout-sensitive values.
bugs/type-legalize-bug-1.slang	0	parameter-layout,helper-generic	Type legalization across parameter and helper boundaries.
bugs/force-inline-array.slang	0	aggregate-pointer,control-flow	Forced-inline array transport through control flow.
bugs/array-of-array-in-sb.slang	0	aggregate-pointer,mixed-resources	Nested arrays in structured-buffer storage.
language-feature/anyvalue-matrix-layout.slang	0	matrix-layout,aggregate-pointer	AnyValue matrix layout preservation.
bugs/generic-default-matrix.slang	0	matrix-layout,helper-generic	Generic default matrix transport.
bugs/matrix-divided-by-scalar.slang	0	matrix-layout	Ordinary non-square matrix arithmetic.
bugs/op-assignment-unify-mat.slang	0	matrix-layout,helper-generic	Matrix compound assignment and overload unification.
compute/atomics-buffer.slang	0	atomic-wave,mixed-resources	Buffer atomics combined with resource access.
bugs/array-size-groupshared.slang	0	shared-barrier,helper-generic,control-flow	Generic array sizing in groupshared storage.
bugs/atomic-coerce.slang	0	atomic-wave,mixed-resources	Atomic operand coercion on a buffer.
bugs/byte-address-buffer-interlocked-add-f32.slang	0	atomic-wave,mixed-resources	Floating atomic on byte-address storage.
bugs/generic-groupshared.slang	0	shared-barrier,helper-generic	Generic values in groupshared storage.
bugs/addr-scope-fix.slang	0	shared-barrier,aggregate-pointer	Address scopes and groupshared lifetime.
language-feature/pointer/redundant-coherent-load.slang	1	aggregate-pointer,shared-barrier	Coherent pointer load and alias simplification.
language-feature/pointer/coherent-load-store-physical-storage-buffer.slang	1	aggregate-pointer,mixed-resources	Coherent load/store through device buffer pointers.
ir/loop-inversion.slang	1	control-flow,large	Large loop inversion workload.
ir/loop-unroll-3.slang	0	control-flow	Loop-unroll interaction with aggregate values.
ir/loop-unroll-induction.slang	0	control-flow	Induction-variable unrolling.
ir/loop-unroll-non-induction.slang	0	control-flow	Non-induction loop-unroll analysis.
ir/ssa-reg-alloc.slang	0	control-flow	SSA register allocation over loops and joins.
ir/loop-dce.slang	0	control-flow	Loop dead-code elimination and runtime result.
compute/multiple-continue-sites.slang	0	control-flow	Multiple continue edges in one kernel.
compute/ssa-reduce-bug.slang	0	control-flow,aggregate-pointer	SSA reduction with aggregate state.
bugs/nested-switch-continue-in-loop.slang	2	control-flow	Nested switch and continue interaction.
bugs/mutating/mutating-call-in-loop-dce.slang	0	control-flow,helper-generic	Mutating helper calls retained through loop DCE.
bugs/gh-7748-switch-continue-bug.slang	0	control-flow	Switch/continue regression workload.
compute/conditional-link-time-const.slang	0	control-flow,helper-generic	Link-time constants controlling helper branches.
